startdate,starttime,cad_eventtype_code,cad_eventtype,lat,lng,neighborhood
05/07/15 08:00 PM,10:23:08 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.35,-71.08998,Boston
03/09/15 08:00 AM,06:44:00 AM,LARCENY, LARCENY,42.254,-71.13245,HydePark
05/12/15 12:00 AM,04:48:47 AM,LARCENY, LARCENY,42.273,-71.17043,Roxbury
05/20/15 08:00 AM,07:59:58 PM,CD24, 209A Service,42.273,-71.17043,Roxbury
05/28/15 04:00 PM,06:37:30 AM,CD24, 209A Service,42.273,-71.17043,Roxbury
05/28/15 04:00 PM,06:51:31 PM,VIORDR, VIOLATION OF THE RESTRAINING ORDER ,42.273,-71.17043,Roxbury
05/20/15 08:00 AM,06:45:40 AM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.277,-71.072676,Dorchester
05/28/15 04:00 PM,09:42:07 AM,MVA, MOTOR VEHICLE ACCIDENT,42.277,-71.072676,Dorchester
03/05/15 04:00 AM,07:12:47 PM,MVA, MOTOR VEHICLE ACCIDENT,42.283,-71.09633,Mattapan
03/05/15 04:00 AM,09:02:17 PM,IVMV, INVESTIGATE MOTOR VEHICLE ,42.283,-71.09633,Mattapan
05/28/15 04:00 PM,01:44:45 PM,BE, BREAKING AND ENTERING ,42.287,-71.05406,Dorchester
05/07/15 08:00 PM,08:32:37 AM,MISC, MISCELLANEOUS CALLS ,42.292,-71.16846,Roxbury
05/07/15 08:00 PM,06:48:29 PM,ABAN, ABANDONED CALL(P) ,42.294,-71.09081,Mattapan
05/20/15 08:00 AM,04:42:07 PM,EDP, EMOTIONALLY DISTURBED PERSON,42.294,-71.09081,Mattapan
05/07/15 08:00 PM,06:01:27 PM,MISC, MISCELLANEOUS CALLS ,42.295,-71.1621,Roxbury
03/13/15 12:00 PM,01:37:57 AM,ABAN, ABANDONED CALL(P) ,42.314,-71.06601,Dorchester
05/20/15 08:00 AM,09:44:10 PM,IVPER, INVESTIGATE PERSON,42.323,-71.06038,Dorchester
03/05/15 04:00 AM,09:50:00 AM,ALARM, ALARM,42.323,-71.06038,Dorchester
05/20/15 08:00 AM,05:47:19 PM,CD19, Walk and Talk ,42.329,-71.083567,Roxbury
05/16/15 04:00 AM,03:02:34 AM,DISTRB, DISTURBANCE ,42.346,-71.0731,SouthEnd
05/16/15 04:00 AM,04:18:57 AM,DISTRB, DISTURBANCE ,42.346,-71.0731,SouthEnd
05/16/15 04:00 AM,10:43:11 AM,IVPER, INVESTIGATE PERSON,42.356,-71.06214,Boston
05/16/15 04:00 AM,11:41:21 PM,EDP, EMOTIONALLY DISTURBED PERSON,42.356,-71.06214,Boston
03/05/15 04:00 AM,12:04:32 AM,SUSOBJ, SUSPICIOUS OBJECT REPORTED,42.356,-71.06214,Boston
03/09/15 08:00 AM,10:34:14 PM,ALARM, ALARM,42.356,-71.06214,Boston
05/28/15 04:00 PM,09:53:29 AM,CD19, Walk and Talk ,42.2424,-71.13889,HydePark
03/13/15 12:00 PM,11:32:13 PM,ABAN, ABANDONED CALL(P) ,42.2457,-71.1257,HydePark
03/05/15 04:00 AM,01:26:35 PM,MISC, MISCELLANEOUS CALLS ,42.2491,-71.11675,HydePark
03/05/15 04:00 AM,02:05:35 PM,LARCENY, LARCENY,42.2491,-71.11675,HydePark
03/13/15 12:00 PM,03:19:42 PM,FIRE, FIRE ,42.2551,-71.14214,HydePark
05/24/15 12:00 PM,12:47:13 AM,IVPREM, INVESTIGATE PREMISE ,42.2587,-71.15802,Roxbury
05/24/15 12:00 PM,04:13:51 PM,ALARM, ALARM,42.2591,-71.16243,Roxbury
05/16/15 04:00 AM,03:55:37 PM,ABAN, ABANDONED CALL(P) ,42.2621,-71.12219,HydePark
